STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,SCALING,COMMENTS
GLI.CHPF.TOT.ECO2EQ.NO,,,,,,,sum,0,,
GHG.BS.TECO2EQ.GG.NO,,,,,,,sum,0,,
GL.FL.F.NERCO2EQ.NO,,,,,,,sum,0,,
GHG.AFOLU.TOT.ECO2EQ.NO,,,,,,,sum,0,,
RL.AREA.AGR.HA.NO,,,,,,,sum,0,,
RL.AREA.AGRORG.HA.NO,,,,,,,sum,0,,
RL.AREA.AGRORG.HA.SH,RL.AREA.AGRORG.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,0,100,
TP.EXVAL.FOOD.USD.NO,,,,,,,sum,0,,trade
TP.IMVAL.FOOD.USD.NO,,,,,,,sum,0,,trade
TI.IMVAL.FOOD.IN.NO,,,,,,,discard,,,no aggregation has to be done
RL.AREA.ARBLPRMN.HA.NO,,,,,,,sum,0,,
AQ.WAT.WATPCP.MC.NO,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.IRRPOT.HA.NO,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.EQIRR.HA.NO,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.EQIRR.HA.SH,AQ.WAT.EQIRR.HA.NO,RL.AREA.ARBLPRMN.HA.NO,,share,,,discard,,100,"aquastat, no aggregation has to be done"
AQ.WAT.SHIRR.HA.SH,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWAGR.MC.NO,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWAGR.MC.SH,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWIND.MC.NO,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWIND.MC.SH,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWMUN.MC.NO,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWMUN.MC.SH,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWTOT.MC.NO,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.WWTOT.MC.SH,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.RFRWTOT.MC.SH,,,,,,,discard,,,"aquastat, no aggregation has to be done"
AQ.WAT.RFRWAGR.MC.SH,,,,,,,discard,,,"aquastat, no aggregation has to be done"
PI.PPI.AGR.ID,,,,,,,discard,,,
NY.GDP.PCAP.KD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
NY.GDP.PCAP.GR10,NY.GDP.PCAP.KD,,NY.GDP.PCAP.KD,growth,10,geo,weighted.mean,0,,
MUV,,,,,,,discard,0,,no aggregation has to be done
TP.EXVAL.CRLS.USD.NO,,,,,,,sum,0,,trade
TP.EXVAL.CRLS.USD.SH,TP.EXVAL.CRLS.USD.NO,MUV,,share,,,sum,0,,
