DATA_KEY_PROC,DATA_KEY_CONSTR1,DATA_KEY_CONSTR2,DATA_KEY_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,NAtoZERO,SCALING,COMMENTS,
EN.AGR.EMPL,,,,,,,,,,used as weight,
EA.PRD.AGRI.KD,,,,,,,,,,should be weighted by EN.AGR.EMPL that is impossible to download. We cannot compute the aggs weighting by POP.TOT…aggs too different,
EA.PRD.AGRI.KD.GR10,EA.PRD.AGRI.KD,,EA.PRD.AGRI.KD,growth,10,geo,,,,should be weighted by EA.PRD.AGRI.KD that is impossible to aggregate,
RL.AREA.LAND.HA.NO,,,,,,,sum,,,,
RL.AREA.AGRORG.HA.NO,,,,,,,sum,,,,
RL.AREA.AGRORG.HA.SH,RL.AREA.AGRORG.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
RL.AREA.AGR.HA.NO,,,,,,,sum,,,,
RL.AREA.AGR.HA.SH,RL.AREA.AGR.HA.NO,RL.AREA.LAND.HA.NO,RL.AREA.LAND.HA.NO,share,,,weighted.mean,,100,,
RL.AREA.ARBL.HA.NO,,,,,,,sum,,,,
RL.AREA.ARBL.HA.SH,RL.AREA.ARBL.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
RL.AREA.ARBL.HA.SHP,RL.AREA.ARBL.HA.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,,,
RL.AREA.PRMNCR.HA.NO,,,,,,,sum,,,,
RL.AREA.PRMNCR.HA.SH,RL.AREA.PRMNCR.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
RL.AREA.PRMNMP.HA.NO,,,,,,,sum,,,,
RL.AREA.PRMNMP.HA.SH,RL.AREA.PRMNMP.HA.NO,RL.AREA.AGR.HA.NO,RL.AREA.AGR.HA.NO,share,,,weighted.mean,,100,,
RL.AREA.FOR.HA.NO,,,,,,,sum,,,,
RL.AREA.FOR.HA.SH,RL.AREA.FOR.HA.NO,RL.AREA.LAND.HA.NO,RL.AREA.LAND.HA.NO,share,,,weighted.mean,,100,,
RL.AREA.FOR.HA.GR1,RL.AREA.FOR.HA.NO,,RL.AREA.FOR.HA.NO,growth,1,geo,weighted.mean,,,,
RL.AREA.FOR.HA.GR21,RL.AREA.FOR.HA.NO,,RL.AREA.FOR.HA.NO,growth,21,geo,weighted.mean,,,,
RL.AREA.OTH.HA.NO,,,,,,,sum,,,,
RL.AREA.OTH.HA.SH,RL.AREA.OTH.HA.NO,RL.AREA.LAND.HA.NO,RL.AREA.LAND.HA.NO,share,,,weighted.mean,,100,,
RL.AREA.ARBLPRMN.HA.NO,,,,,,,sum,,,,
RL.AREA.ARBLPRMN.HA.SH,RL.AREA.ARBLPRMN.HA.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,,,
RL.AREA.INLWAT.HA.NO,,,,,,,sum,,,,
AQ.WAT.WATPCP.MC.NO,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.IRRPOT.HA.NO,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.EQIRR.HA.NO,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.EQIRR.HA.SH,AQ.WAT.EQIRR.HA.NO,RL.AREA.ARBLPRMN.HA.NO,,share,,,,,100,"aquastat, no aggregation has to be done",
AQ.WAT.SHIRR.HA.SH,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.WWAGR.MC.NO,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.WWAGR.MC.SH,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.WWIND.MC.NO,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.WWIND.MC.SH,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.WWMUN.MC.NO,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.WWMUN.MC.SH,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.WWTOT.MC.NO,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.WWTOT.MC.SH,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.RFRWTOT.MC.SH,,,,,,,,,,"aquastat, no aggregation has to be done",
AQ.WAT.RFRWAGR.MC.SH,,,,,,,,,,"aquastat, no aggregation has to be done",
SL.TLF.0714.ZS,,,,,,,,,,WB doesn't aggregate this variable,
SL.AGR.0714.ZS,,,,,,,,,,WB doesn't aggregate this variable,
SL.AGR.0714.FE.ZS,,,,,,,,,,WB doesn't aggregate this variable,
SL.AGR.0714.MA.ZS,,,,,,,,,,WB doesn't aggregate this variable,
SL.EMP.TOTL.FE,,,,,,,sum,,,used just to compute the female empl weight,
SL.EMP.TOTL.MA,,,,,,,sum,,,used just to compute the male empl weight,
SL.AGR.EMPL.FE.ZS,,,SL.EMP.TOTL.FE,,,,weighted.mean,,,,
SL.AGR.EMPL.MA.ZS,,,SL.EMP.TOTL.MA,,,,weighted.mean,,,,
SL.EMP.TOTL,,,,,,,sum,,,use as weight,
SL.AGR.EMPL.ZS,,,SL.EMP.TOTL,,,,weighted.mean,,,,
SL.IND.EMPL.ZS,,,SL.EMP.TOTL,,,,weighted.mean,,,,
SL.SRV.EMPL.ZS,,,SL.EMP.TOTL,,,,weighted.mean,,,,
SP.POP.1564.FE.IN,,,,,,,sum,,,used just to compute the lab part rate weight,
SP.POP.65UP.FE.IN,,,,,,,sum,,,used just to compute the lab part rate weight,
LABPARTFEWEIGHT,,,,manual,,,sum,,,labor part rate weight ('SP.POP.1564.FE.IN'+'SP.POP.65UP.FE.IN'),
SP.POP.1564.MA.IN,,,,,,,sum,,,used just to compute the lab part rate weight,
SP.POP.65UP.MA.IN,,,,,,,sum,,,used just to compute the lab part rate weight,
